HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6809.198406, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6810.332357, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6811.466308, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6812.600260, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6813.734211, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6814.868163, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6816.002114, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6817.136066, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6818.270017, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6819.403969, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6820.537920, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6821.671872, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6822.805823, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6823.939774, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6825.073726, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6826.207677, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6827.341629, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6828.475580, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6829.609532, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6830.743483, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6831.877435, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6833.011386, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6834.145338, 725.790861
